CountryCode,CountryName,Región,GTCEcrono,GTCEenMx,GTCEmemberx2,GTCEmemberx3,GTCEm1,GTCEm2,GTCEm3,GTCE70vs20,GTCE77vs13,GTCE14dummy,EGOVordx4original,EGOVordx16original,EGOV2020x2,EGOV2020x3,EGOV2020x4,EGOV_muyAltoD,EGOV_AltoD,Densidadx2,Densidadx3,Densidadx4,DensidadMediaBaja_DUM,DensidadMediaAlta_DUM,DensidadMenor,DensidadMayor,DensidadAlta_DUM,INCOMEx2,INCOMEx4,RTA#,ecRTA#,Red_ecRTA_1almenos,Red_ecRTAx3ok,Red_RTAx3ok,Red_RTA_altaDUM,Red_ecRTA_altaDUM,Red_ecRTAx4,Red_RTAx4,Red_ecRTAx2ok,Red_RTAx2ok,REGPOLx4,REGPOLx2,ECOMx2,filter_$INTEGRADO,filter_$ecRTAcat1,filter_$
MAC3,"Macao SAR, China M3",7,3,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , ,1,4,0,0,0,0,0,0,0,0,0,0,0,0, , , ,1,0
MDG1,Madagascar M1,4,3,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,2,0,0,1,1,0
MDG2,Madagascar M2,4,3,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,2,0,0,1,1,0
MDG3,Madagascar M3,4,3,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,2,0,0,1,1,0
MWI1,Malawi M1,4,3,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
MWI2,Malawi M2,4,3,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
MWI3,Malawi M3,4,3,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
MYS1,Malaysia M1,7,0,1,1,2,1,1,1,1,1,0,4,13,1,0,2,0,1,1,3,3,0,1,0,1,0,1,3,15,4,1,2,2,1,0,2,2,1,1,2,0,1,1,1,0
MYS2,Malaysia M2,7,0,1,1,2,1,1,1,1,1,0,4,13,1,0,2,0,1,1,3,3,0,1,0,1,0,1,3,15,4,1,2,2,1,0,2,2,1,1,2,0,1,1,1,0
MYS3,Malaysia M3,7,0,1,1,2,1,1,1,1,1,0,4,13,1,0,2,0,1,1,3,3,0,1,0,1,0,1,3,15,4,1,2,2,1,0,2,2,1,1,2,0,1,1,1,0
